ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-01-01,75236.136233797,70338.16475992545,80024.82470514125,75236.136233797,75236.136233797,-230.2496898374044,-230.2496898374044,-230.2496898374044,-230.2496898374044,-230.2496898374044,-230.2496898374044,0.0,0.0,0.0,75005.8865439596
2025-01-02,75236.64320693338,71539.33735501395,81347.73727475195,75236.64320693338,75236.64320693338,1218.6643142338762,1218.6643142338762,1218.6643142338762,1218.6643142338762,1218.6643142338762,1218.6643142338762,0.0,0.0,0.0,76455.30752116725
2025-01-03,75237.15018006976,69167.94021397189,78816.59581477092,75237.15018006976,75237.15018006976,-1395.7797555344819,-1395.7797555344819,-1395.7797555344819,-1395.7797555344819,-1395.7797555344819,-1395.7797555344819,0.0,0.0,0.0,73841.37042453527
2025-01-04,75237.65715320614,71418.16854573053,81269.55052459173,75237.65715320614,75237.65715320614,1031.804125464702,1031.804125464702,1031.804125464702,1031.804125464702,1031.804125464702,1031.804125464702,0.0,0.0,0.0,76269.46127867083
2025-01-05,75238.16412634253,69398.7397455402,79111.28115364737,75238.16412634253,75238.16412634253,-554.8030889166685,-554.8030889166685,-554.8030889166685,-554.8030889166685,-554.8030889166685,-554.8030889166685,0.0,0.0,0.0,74683.36103742586
2025-01-06,75238.6710994789,70746.14817742736,80353.70475454206,75238.6710994789,75238.6710994789,530.1341468846094,530.1341468846094,530.1341468846094,530.1341468846094,530.1341468846094,530.1341468846094,0.0,0.0,0.0,75768.80524636351
2025-01-07,75239.17807261528,69537.35876854208,79583.2079627529,75239.17807261528,75239.17807261528,-599.7700522973543,-599.7700522973543,-599.7700522973543,-599.7700522973543,-599.7700522973543,-599.7700522973543,0.0,0.0,0.0,74639.40802031792
2025-01-08,75239.68504556212,70202.64963448652,79878.29863729994,75239.68504556212,75239.68504556212,-230.24968984174762,-230.24968984174762,-230.24968984174762,-230.24968984174762,-230.24968984174762,-230.24968984174762,0.0,0.0,0.0,75009.43535572037
2025-01-09,75240.19201850898,71406.6626024634,81447.26513894871,75240.19201850898,75240.19201850898,1218.6643142367368,1218.6643142367368,1218.6643142367368,1218.6643142367368,1218.6643142367368,1218.6643142367368,0.0,0.0,0.0,76458.85633274572
2025-01-10,75240.69899145582,68886.07200032794,78583.69247458293,75240.69899145582,75240.69899145582,-1395.7797555327795,-1395.7797555327795,-1395.7797555327795,-1395.7797555327795,-1395.7797555327795,-1395.7797555327795,0.0,0.0,0.0,73844.91923592304
2025-01-11,75241.20596440266,71588.68970152688,81527.98528756117,75241.20596440266,75241.20596440266,1031.8041254660725,1031.8041254660725,1031.8041254660725,1031.8041254660725,1031.8041254660725,1031.8041254660725,0.0,0.0,0.0,76273.01008986874
2025-01-12,75241.71293734951,69968.72962140033,79662.90802145243,75241.71293734951,75241.71293734951,-554.8030889155359,-554.8030889155359,-554.8030889155359,-554.8030889155359,-554.8030889155359,-554.8030889155359,0.0,0.0,0.0,74686.90984843398
2025-01-13,75242.21991007669,71293.92335478675,80558.3807276158,75242.21991007669,75242.21991007669,530.1341468896487,530.1341468896487,530.1341468896487,530.1341468896487,530.1341468896487,530.1341468896487,0.0,0.0,0.0,75772.35405696633
2025-01-14,75242.72688280387,69840.55614069903,79508.28354201619,75242.72688280387,75242.72688280387,-599.7700523037487,-599.7700523037487,-599.7700523037487,-599.7700523037487,-599.7700523037487,-599.7700523037487,0.0,0.0,0.0,74642.95683050012
2025-01-15,75243.23385553103,70103.37611079976,79778.61887612789,75243.23385553103,75243.23385553103,-230.2496898430053,-230.2496898430053,-230.2496898430053,-230.2496898430053,-230.2496898430053,-230.2496898430053,0.0,0.0,0.0,75012.98416568802
2025-01-16,75243.7408282582,71880.53929332108,81525.33646177094,75243.7408282582,75243.7408282582,1218.664314231842,1218.664314231842,1218.664314231842,1218.664314231842,1218.664314231842,1218.664314231842,0.0,0.0,0.0,76462.40514249004
2025-01-17,75244.24780098538,68892.53925609292,78648.87441875477,75244.24780098538,75244.24780098538,-1395.7797555363752,-1395.7797555363752,-1395.7797555363752,-1395.7797555363752,-1395.7797555363752,-1395.7797555363752,0.0,0.0,0.0,73848.468045449
2025-01-18,75244.75477371256,71247.19503555878,80900.89759310565,75244.75477371256,75244.75477371256,1031.8041254640564,1031.8041254640564,1031.8041254640564,1031.8041254640564,1031.8041254640564,1031.8041254640564,0.0,0.0,0.0,76276.55889917661
2025-01-19,75245.26174940036,69832.09592261579,79673.0077198291,75245.26174940036,75245.26174940036,-554.8030889144036,-554.8030889144036,-554.8030889144036,-554.8030889144036,-554.8030889144036,-554.8030889144036,0.0,0.0,0.0,74690.45866048597
2025-01-20,75245.76872508817,70776.39874823554,80801.06035226509,75245.76872508817,75245.76872508817,530.1341468907171,530.1341468907171,530.1341468907171,530.1341468907171,530.1341468907171,530.1341468907171,0.0,0.0,0.0,75775.90287197889
2025-01-21,75246.275700776,69584.24174583756,79419.88455536288,75246.275700776,75246.275700776,-599.7700523101433,-599.7700523101433,-599.7700523101433,-599.7700523101433,-599.7700523101433,-599.7700523101433,0.0,0.0,0.0,74646.50564846586
2025-01-22,75246.78267646379,70393.29126638584,79841.11172139914,75246.78267646379,75246.78267646379,-230.24968983627699,-230.24968983627699,-230.24968983627699,-230.24968983627699,-230.24968983627699,-230.24968983627699,0.0,0.0,0.0,75016.53298662751
2025-01-23,75247.2896521516,71679.20809935422,81276.80922239774,75247.2896521516,75247.2896521516,1218.6643142328487,1218.6643142328487,1218.6643142328487,1218.6643142328487,1218.6643142328487,1218.6643142328487,0.0,0.0,0.0,76465.95396638445
2025-01-24,75247.79662783942,69117.07441238186,78493.90002248922,75247.79662783942,75247.79662783942,-1395.7797555346733,-1395.7797555346733,-1395.7797555346733,-1395.7797555346733,-1395.7797555346733,-1395.7797555346733,0.0,0.0,0.0,73852.01687230474
2025-01-25,75248.30360609453,71496.57790775888,81128.16387021175,75248.30360609453,75248.30360609453,1031.8041254626814,1031.8041254626814,1031.8041254626814,1031.8041254626814,1031.8041254626814,1031.8041254626814,0.0,0.0,0.0,76280.10773155722
2025-01-26,75248.81058434965,69945.88590041439,79690.47746865342,75248.81058434965,75248.81058434965,-554.8030889132713,-554.8030889132713,-554.8030889132713,-554.8030889132713,-554.8030889132713,-554.8030889132713,0.0,0.0,0.0,74694.00749543638
2025-01-27,75249.31756260477,70845.20874804766,80544.74979162402,75249.31756260477,75249.31756260477,530.1341468957564,530.1341468957564,530.1341468957564,530.1341468957564,530.1341468957564,530.1341468957564,0.0,0.0,0.0,75779.45170950053
2025-01-28,75249.82454085989,69911.45431699033,79507.6972203409,75249.82454085989,75249.82454085989,-599.7700522995613,-599.7700522995613,-599.7700522995613,-599.7700522995613,-599.7700522995613,-599.7700522995613,0.0,0.0,0.0,74650.05448856033
