resource_id,date,region,service,instance_type,environment,cpu_pct,ram_pct,disk_io,network_in,network_out,storage_gb,monthly_cost,uptime_hours,anomaly
RES-93810,2025-01-01,eu-west-1,S3,t3.small,Testing,26.9,24.62,472.03,263.03,95.09,658.88,602.51,22.03,0
RES-93810,2025-01-02,us-east-1,EC2,t3.small,Testing,54.21,29.43,296.45,269.45,120.42,227.13,1496.34,12.72,0
RES-93810,2025-01-03,us-east-1,EBS,t3.medium,Testing,16.88,68.28,302.24,116.05,179.17,473.37,388.35,13.72,0
RES-93810,2025-01-04,us-east-1,RDS,c5.large,Testing,33.64,32.3,87.5,1.97,216.91,722.48,1458.25,18.53,0
RES-93810,2025-01-05,eu-west-1,RDS,t3.small,Production,20.5,39.77,89.16,286.1,276.81,919.31,904.43,12.24,0
RES-93810,2025-01-06,eu-central-1,S3,t3.medium,Testing,24.4,57.76,48.59,219.84,244.99,978.2,806.07,3.89,0
RES-93810,2025-01-07,ap-south-1,EBS,m5.large,Production,83.14,44.35,113.78,162.25,219.25,209.14,477.9,23.89,0
RES-93810,2025-01-08,us-east-1,RDS,t3.micro,Testing,25.06,10.95,20.31,166.62,176.94,17.12,1066.14,2.35,0
RES-93810,2025-01-09,us-west-2,EC2,t3.micro,Testing,24.13,67.21,114.98,40.56,280.72,575.33,716.92,19.05,0
RES-93810,2025-01-10,us-east-1,S3,t3.small,Production,42.09,44.39,238.84,218.99,202.34,984.32,161.15,10.26,0
RES-93810,2025-01-11,eu-central-1,EC2,t3.micro,Production,51.87,18.04,99.91,139.33,262.47,84.63,1214.91,20.69,0
RES-93810,2025-01-12,ap-south-1,RDS,m5.large,Testing,17.47,50.16,114.74,120.91,18.53,385.18,1478.18,7.1,0
RES-93810,2025-01-13,eu-west-1,EC2,t3.micro,Testing,91.03,97.57,282.33,215.8,47.28,303.74,1453.53,14.32,0
RES-93810,2025-01-14,ap-south-1,EC2,c5.large,Production,46.34,90.5,270.25,18.01,152.84,852.83,116.75,2.56,0
RES-93810,2025-01-15,eu-west-1,Lambda,t3.small,Testing,55.84,8.7,50.17,197.55,170.0,323.21,402.24,16.4,0
RES-93810,2025-01-16,eu-central-1,RDS,t3.small,Development,62.03,47.52,465.22,280.78,3.79,624.95,851.05,3.3,0
RES-93810,2025-01-17,us-east-1,EBS,t3.medium,Testing,83.92,86.77,191.07,48.17,250.29,706.5,923.34,23.71,0
RES-93810,2025-01-18,eu-west-1,EBS,m5.large,Development,11.63,86.67,139.59,267.02,222.98,163.89,433.41,5.84,0
RES-93810,2025-01-19,ap-south-1,EBS,m5.large,Testing,86.2,83.69,55.23,127.65,83.73,13.51,1160.11,15.65,0
RES-93810,2025-01-20,eu-west-1,RDS,t3.micro,Development,2.9,12.0,442.72,271.27,164.13,836.25,880.03,4.41,0
RES-93810,2025-01-21,us-west-2,S3,m5.large,Production,21.54,28.21,60.37,234.25,265.36,412.31,936.68,4.55,0
RES-93810,2025-01-22,ap-south-1,EC2,m5.large,Production,18.68,90.98,393.37,124.1,201.3,737.71,383.53,4.66,0
RES-93810,2025-01-23,us-east-1,RDS,t3.medium,Testing,20.56,90.42,181.33,246.34,261.53,230.69,995.15,10.16,0
RES-93810,2025-01-24,us-east-1,EC2,c5.large,Development,49.37,68.2,423.39,100.01,9.25,878.27,402.9,14.35,0
RES-93810,2025-01-25,eu-central-1,EBS,t3.small,Development,34.15,78.14,223.83,295.29,35.58,900.51,297.27,2.02,0
RES-93810,2025-01-26,eu-west-1,Lambda,t3.medium,Testing,42.11,93.25,461.18,187.32,199.35,133.38,1351.57,12.66,0
RES-93810,2025-01-27,eu-central-1,EBS,t3.medium,Development,4.3,8.6,470.78,203.52,270.94,619.36,461.91,13.6,1
RES-93810,2025-01-28,eu-central-1,RDS,t3.micro,Production,43.09,67.83,260.48,238.33,287.99,738.6,993.39,7.53,0
RES-93810,2025-01-29,eu-central-1,S3,m5.large,Development,64.57,25.89,107.57,8.3,74.21,480.38,1276.86,2.68,0
RES-93810,2025-01-30,eu-central-1,Lambda,t3.micro,Testing,39.17,18.72,346.93,267.91,258.27,886.61,1170.95,6.03,0
RES-93810,2025-01-31,eu-central-1,EBS,m5.large,Testing,25.18,83.9,233.67,240.62,200.61,988.01,899.25,22.85,0
RES-93810,2025-02-01,us-west-2,RDS,m5.large,Production,43.47,19.8,432.13,135.57,225.78,841.46,426.81,18.89,0
RES-93810,2025-02-02,ap-south-1,Lambda,t3.medium,Testing,68.36,26.81,174.57,268.02,25.09,159.32,583.81,4.51,0
RES-93810,2025-02-03,ap-south-1,EC2,t3.medium,Development,45.33,10.79,418.12,117.45,231.17,946.6,44.0,21.26,0
RES-93810,2025-02-04,ap-south-1,Lambda,t3.micro,Development,72.07,84.37,477.18,126.29,224.51,550.67,910.83,6.07,0
RES-93810,2025-02-05,eu-central-1,EC2,t3.micro,Testing,33.26,68.16,208.12,50.35,140.75,136.35,939.05,1.62,0
RES-93810,2025-02-06,ap-south-1,RDS,t3.micro,Development,41.86,85.62,99.05,78.79,98.88,460.15,516.19,21.23,0
RES-93810,2025-02-07,us-west-2,EC2,c5.large,Production,3.8,55.17,499.95,105.64,195.39,783.42,982.86,18.35,0
RES-93810,2025-02-08,us-east-1,S3,t3.medium,Production,24.18,49.04,66.05,284.38,140.05,263.68,562.81,14.94,0
RES-93810,2025-02-09,us-west-2,EC2,t3.medium,Testing,55.82,91.39,292.14,272.5,113.22,942.06,309.52,14.62,0
RES-93810,2025-02-10,ap-south-1,Lambda,t3.micro,Development,57.84,16.26,492.08,235.01,104.81,434.09,565.3,12.64,0
RES-93810,2025-02-11,eu-central-1,Lambda,m5.large,Development,91.35,64.11,416.07,212.49,131.21,736.46,1448.73,7.21,0
RES-93810,2025-02-12,ap-south-1,RDS,t3.micro,Development,78.79,60.1,167.93,74.4,280.45,286.14,684.44,18.26,0
RES-93810,2025-02-13,ap-south-1,Lambda,c5.large,Production,14.22,1.71,113.94,239.55,102.76,881.52,1056.26,7.35,1
RES-93810,2025-02-14,ap-south-1,EBS,c5.large,Development,66.23,65.07,250.5,238.09,28.82,229.38,1042.3,8.04,0
RES-93810,2025-02-15,eu-central-1,S3,t3.small,Production,41.57,74.37,172.09,211.15,82.0,258.89,194.17,5.43,0
RES-93810,2025-02-16,eu-west-1,EC2,c5.large,Production,70.69,30.71,298.9,228.3,179.44,980.71,1251.45,7.81,0
RES-93810,2025-02-17,ap-south-1,Lambda,m5.large,Development,27.51,95.61,281.15,209.53,38.76,869.78,743.95,21.07,0
RES-93810,2025-02-18,us-west-2,EBS,t3.medium,Production,19.15,9.78,471.12,143.84,246.81,406.7,125.01,15.48,0
RES-93810,2025-02-19,eu-central-1,Lambda,t3.medium,Testing,94.43,16.02,384.58,182.29,237.43,233.43,791.02,11.36,0
RES-93810,2025-02-20,us-east-1,S3,t3.micro,Development,59.76,61.7,372.64,284.33,63.13,218.91,995.74,4.61,0
RES-93810,2025-02-21,eu-central-1,S3,m5.large,Production,43.9,60.22,152.72,70.21,212.38,705.96,689.24,16.81,0
